;ID;CHANCE_TO_HELP_PROBABILITY;COST_REDUCTION_ALTRUISTIC_ACT;SEED;SPAWN_ALTRUIST;SPAWN_NONALTRUIST;age_at_death;altruist_fitness;altruistic_acts_altruists;altruistic_acts_base_agents;average_fitness_cost;average_fitness_cost_round;children_per_woman;died_of_chance;died_of_fitness_loss;died_of_old_age;fitness_at_death;median_age;median_fitness;net_growth;nonAltruist_fitness;population;population_altruists;population_nonAltruists;year
;0 Mittelwert;1;0,5;;0;0;76,528;0;;9,722;5,478;4,918;1,656;2,8;;13,4;104,23;31,458;104,354;57,4;0;3093;0;0;250
;1 Mittelwert;1;0,6;;0;0;78,344;0;;10,136;5,44;6,388;1,706;3;;11,6;103,924;29,924;103,352;47,2;0;2450,8;0;0;250
;2 Mittelwert;1;0,7;;0;0;70,37;0;;9,962;5,49;4,99;1,706;2,2;;9,6;103,246;29,7;102,498;52,8;0;2592;0;0;250
;3 Mittelwert;1;0,8;;0;0;76,304;0;;9,808;5,458;5,2;1,628;2,25;;12,2;102,546;30,63;101,86;39;0;2530,4;0;0;250
;4 Mittelwert;1;0,9;;0;0;78,14;0;;11,386;5,5;5,4775;1,586;3,666666667;;12,8;100,47;31,372;101,244;71;0;3267,6;0;0;250
;5 Mittelwert;1;1;;0;0;75,778;0;;10,714;5,462;5,3825;1,636;3;;12,4;101,178;30,706;100,81;69,2;0;3363,4;0;0;250
;6 Mittelwert;2;0,5;;0;0;71,098;0;;15,968;5,436;6,012;1,66;3,75;;12,6;106,66;29,28;107,686;77,6;0;3460;0;0;250
;7 Mittelwert;2;0,6;;0;0;78,628;0;;34,724;5,44;6,962;1,546;2;;10,4;105,972;33,528;107,048;45,4;0;2177;0;0;250
;8 Mittelwert;2;0,7;;0;0;74;0;;22,26;5,4;5,4125;1,676;2,25;;5,6;107,566;29,79;105,09;38,6;0;1729,2;0;0;250
;9 Mittelwert;2;0,8;;0;0;79,886;0;;39,136;5,392;5,09;1,514;2;;5;103,126;33,934;103,666;30,2;0;1440,2;0;0;250
;10 Mittelwert;2;0,9;;0;0;85,404;0;;32,866;5,322;4,848;1,512;2,5;;4,2;102,946;33,644;103,636;12,8;0;912,6;0;0;250
;11 Mittelwert;2;1;;0;0;72,33;0;;44,258;5,424;5,824;1,442;2,333333333;;7,75;101,0075;35,674;102,494;5,8;0;722,2;0;0;250
;12 Mittelwert;3;0,5;;0;0;74,202;0;;34,042;5,476;5,31;1,618;6,4;;24,8;112,234;30,752;112,318;161,4;0;6251,8;0;0;250
;13 Mittelwert;3;0,6;;0;0;77,258;0;;28,234;5,548;5,372;1,658;4,75;;21;109,172;29,554;110,534;150,6;0;5892,2;0;0;250
;14 Mittelwert;3;0,7;;0;0;76,9925;0;;75,66;5,548;5,222;1,6;4,5;;22,5;108,79;30,872;109,406;85,6;0;4128,2;0;0;250
